step,label,initial_state_id,score_before,score_after,old_length,new_length,gain,source,source_row,final_path_sha256,final_path
1,public_and_local_merge,66,46378,46332,47,45,2,work/submissions/best_46452_twshort_d9.csv,68,7efc31fa1bec6ed77bae71cf23758fcec4e9dfaa2ea79f075261792c6580456c,-f0.r1.d2.f1.-r3.d3.-f2.f0.-d0.-r3.-r3.-d1.f0.-r1.-r2.-d1.-f2.f0.-r3.d0.-r1.-f2.-r0.f2.r2.d2.-r2.r0.d1.r1.-f2.-d3.-f1.f2.-d1.-f2.f1.r1.d3.-f2.d1.f2.d0.-r1.f0
1,public_and_local_merge,153,46378,46332,44,42,2,work/submissions/best_46452_twshort_d9.csv,155,3e3439f34d11c94962764b67ae6afe0560b654228b4e2fb0123fecf02bdfa2ae,-d1.f2.d3.-r3.r1.-d2.f0.-d3.d1.r0.-f3.-r2.-f2.d1.-f2.-r0.d2.-f1.r0.f1.r2.d0.r0.d2.r1.-d2.-r1.-f1.-r0.-d0.-r3.f3.f0.d1.f3.-d3.f0.r0.f3.-r0.-f3.-f0
1,public_and_local_merge,503,46378,46332,48,46,2,work/service_investigation/official_cube4_results.csv,160,3ddf523cbeebce8a25ef0dba5ac2f229fbb634cb825c615640d48ac6a870d0a7,f3.r3.d0.r2.-f0.r0.f0.r0.-r3.f3.d3.-r0.r2.r3.-d0.-d1.-f3.-d3.-d2.f3.-r1.f0.r3.f2.-r3.r0.-d2.f0.d2.-r1.-f0.-d2.-f0.d2.d2.r2.-d2.f0.-d1.-f1.-r1.f1.r1.d1.-r0.d2
1,public_and_local_merge,504,46378,46332,47,45,2,work/submissions/merged_public_twmerge.csv,506,831351133476b510e33ffbf97f148454a580245f21cdf8c379fe62840c71844e,f0.r2.f2.-r0.f2.f3.r1.-f3.-d0.-r1.r2.f1.-f3.-r1.d0.-f3.-d1.-f1.d1.r2.-f3.-r3.-f1.r3.d0.-r1.f3.-d2.f3.-r1.-f3.r1.d2.r3.r3.f0.-d0.r0.d2.-f2.-d2.f2.-r0.d0.-f2
1,public_and_local_merge,509,46378,46332,48,46,2,work/service_investigation/official_cube4_results.csv,169,d20e1fccb4ac8d5c4fc332d698a47e11861440f4551139360411dd035a080d28,f3.-d3.-d1.f3.d0.r1.d1.r2.f1.r1.f1.r2.-f3.-d0.-f3.r1.-f1.-f3.-d1.-f1.d1.-d3.-f0.-d1.d3.-d1.f2.f0.r2.f3.-d1.-f2.-d3.f1.d2.-f2.d2.-f1.d2.d3.d2.f2.r0.f2.-r0.f3
1,public_and_local_merge,510,46378,46332,47,45,2,work/service_investigation/official_cube4_results.csv,170,f7b6f10fcf10f1b36cafd90599b1e483c37fff627435e187dce85dccc86bf72b,f1.d1.f0.d2.-r0.f2.-f0.r1.f2.-r0.d1.-f3.-f0.d2.-f3.d3.d2.-f3.-d0.f3.-d2.r0.f1.-d3.-f0.d3.f2.-f1.r3.f3.-f2.-d2.f2.-d3.d2.r2.r0.-f3.-r0.-f2.r0.f3.f2.-r2.-d2
1,public_and_local_merge,525,46378,46332,44,42,2,work/submissions/best_46452_twshort_d9.csv,527,6ea6d04b2d8c872922ecb8f6622eed03381ab9cd461a602813ce28d6a687ac41,r3.f1.-f0.-d3.r2.-f0.d2.d0.r3.d0.r1.f1.-r1.d1.r1.f0.f0.d0.-f1.-d0.r1.f0.r0.-f0.-d1.-r1.-f1.r1.-r3.-d1.r3.-d3.d1.r2.-f1.-r1.-f1.f0.-d1.f1.d1.f1
1,public_and_local_merge,623,46378,46332,46,44,2,work/service_investigation/official_cube4_results.csv,230,550a8154fbb6f4bac44dabad9fee95624c27823f8e3b03122bd3e63e2fe0c2b7,d3.-r1.-r3.-d2.-r3.f0.-r2.-d1.r1.-d0.-r1.-f3.-r1.-d0.f0.-r2.-f1.r2.f2.-d3.f0.-f3.-f1.-r1.-d1.-f2.r1.f3.-r1.f2.-f3.r3.-f0.-r2.f1.-r2.-d2.r2.-r3.-d2.r3.f2.-d2.-f2
1,public_and_local_merge,629,46378,46332,48,46,2,work/service_investigation/official_cube4_results.csv,238,c5fbd63dafad9a1ac388f804a3d4a413da0fd15dbf73b9213d39c1fcde052045,-d3.r2.-d0.-d0.-r0.-f1.r1.-d3.-d1.d0.-r2.-r2.-f0.d1.d3.f0.-d1.-r1.-d3.-f1.-r0.d0.d0.f3.-r3.d0.f1.r3.r1.-f1.-r1.d1.-f1.-d1.r3.r0.r0.-d2.-r0.f1.-r2.d1.r2.-d1.-f1.r0
1,public_and_local_merge,633,46378,46332,48,46,2,work/service_investigation/official_cube4_results.csv,243,2ec4e448ab729e800cdfaa1d92004dc92c363041391df055b7f5f5c0a33ddcae,f0.-d2.-f1.-d3.-r2.r3.-d1.-f2.d3.-r3.f0.-d1.-d2.-r0.-f2.r0.-f3.-r1.d1.-r0.-d0.-d1.-r0.d0.r0.-f0.r3.d0.r1.-d2.-r1.-f0.r2.f2.-r2.f0.d1.f2.-d0.r2.f2.-d1.-f2.r1.-d1.-r2
