initial_state_id,path,old_length,new_length
49,-r0.-f0.d3.-f0.-d1.d2.-r1.f0.f3.r0.-d1.-f2.f1.-r2.-d2.-r1.-d1.d0.-f3.-r2.-r2.-d1.-d1.-d2.f3.-d1.-d2.-d2.-r0.-r0.-f3.-r1.-d0.-d2.-r2.-r3.-r3.r1.f0.-d2.r3.d3.-f2.-r0.f0.f2,46,46
51,r0.d0.-r2.r0.d0.r0.-d3.f0.-d2.r1.-r2.f3.r1.f2.-d3.-r0.-d3.-r1.-d3.f2.-d1.r1.d1.-d3.f0.d1.f0.-r1.f0.f0.d3.-f2.d3.d1.f1.r2.-f1.-d3.r2.d1.-r2.d1.d1.r1.-f2.r0,46,46
53,-d1.f0.f2.-d0.f1.-d0.f0.r2.f0.-d1.r0.d2.-r2.f0.-r2.-f3.-r1.-r3.-f3.-r0.f1.-r1.-f3.r1.r2.-f1.f3.-r1.r2.-d0.f0.d2.-f0.d1.-f1.-d1.f1.d0.-r0.d2.-r2.-r2.-d2.r1.-f2.r2,46,46
56,d3.-f1.f2.r0.-d3.f0.d3.-r1.-d0.-f1.f0.-r2.-d2.f2.r2.-d0.-d0.r1.r3.-f3.-r1.-f2.-r3.-d0.-d0.f3.-r0.-d1.d2.r1.d1.-r1.-f3.d1.-f2.d2.-f1.-r2.f2.-d0.f1.d0.-f1.r2.d2.f1.-d2,47,47
57,-f0.f3.r0.-d3.-r3.-d3.r1.r2.-f1.-f3.d1.-f0.-d2.-r3.-f0.-d1.f3.-r2.f0.-r3.-d2.-r2.r3.-f0.-r1.d0.r0.-d2.-r2.f2.r2.f2.-d0.-d2.r1.d0.-r1.-f1.d2.-f2.-f2.f1.r1.f2.d2.f0,46,46
59,r1.-f1.r0.-f1.f2.-d2.f0.r0.-d1.d0.d3.-r3.r2.-d1.f2.-d1.-f2.-r2.-d3.-r2.-d1.r2.-f3.d3.f3.r1.-f2.-r1.-f3.r0.d3.-r0.-r3.f3.-d0.-f0.-d3.d0.-r3.-f0.d0.-r0.-f3.d0.f3.-r0.d3.f0,48,48
60,d0.r2.f2.d3.r2.-f0.-f2.-d3.r0.-d2.-f1.f2.-r2.-r2.d3.-r3.-d1.d3.r1.r2.f0.-r1.-f2.-r2.r0.d2.-r0.-d2.-r3.-d0.-r3.-d3.-f0.-f0.-d0.-r3.r0.-d0.f0.r0.f0.r3.-f3.f0.d0.-f0.-r3.d0.r0,49,49
61,d2.-r2.d3.f3.-d1.-r2.d0.-r1.-d0.-f2.-f2.-r2.f1.r2.-f3.-r2.-f0.-d3.f0.-r1.f2.r0.d3.-r0.-f1.-f2.r2.-f0.-d3.r3.d3.f3.d0.-f0.r0.-f0.-r0.-d0.d3.-f0.r0.-d0.-d0.-d3.r3.-f0,46,46
63,-f3.-d0.-f3.-r1.f2.-r0.-f1.f0.r1.-d1.-f0.f3.-d2.-f0.d2.r1.-d2.d3.-r0.d3.-f0.-d3.r0.d0.d1.f2.r0.f0.-r3.d0.r0.-f3.d0.f0.r3.d0.r3.-d3.d0.f0.r3.f0.-r3.r0.-d3.-d3.-r0.-r0,48,48
67,d1.d3.r2.-f3.f1.-d0.-r1.r0.f1.d2.d3.-r2.-f3.r0.f1.-r0.f0.-r1.-f0.d2.d3.f3.-d3.-r3.-d1.-d2.r0.-d0.-f0.-d2.d0.-f2.f1.-d3.r3.-d2.-r3.d2.d3.-f1.-d2.r1.d2.-r1.f0.f2.r1.-f0,48,48
68,f3.r2.d3.-r2.r3.-d3.d1.-r3.-d0.-f2.-r2.f2.d0.-r3.d3.-r1.-r2.-d0.-d2.-d3.f1.d0.f0.-d2.r0.r3.d2.-f1.-d0.r3.-d3.f3.d3.f0.-r3.d0.f0.-r3.f3.-d0.-r0.-r3.f3.-r3.-d0.r0.-f0,47,47
69,r1.-f0.r2.d2.-f0.-f3.-r0.r3.d1.f2.d0.d1.-f1.-d0.-d0.f3.-d3.-r0.r2.d3.-r2.-d0.f3.-r3.-d0.f0.d2.d3.f0.-d0.-r3.-r3.-d3.-f3.-r0.-f0.-r0.-f3.r3.f0.r0.r3.-d0.-d0.f3.-r0,46,46
71,f0.d3.r3.-d0.-f2.d3.f3.r1.f1.-d3.r0.r3.f1.d3.-r1.d3.r0.r1.d0.r2.d0.-f0.-d0.-f3.d3.f0.-r1.-f0.d0.r3.f0.-d1.f1.d1.-f0.-r3.f0.-r2.f3.r2.-f3.-r0.d1.-r1.-d1.-r3.-d0.-r1,48,48
72,-d0.-f0.d3.f3.-d1.f3.-r0.-r0.-d1.-r3.f3.-d3.-r0.f1.f3.-r0.-r1.f1.f2.-d0.-d0.f0.f2.-r0.-r1.-d3.r1.d3.r0.-f1.-f2.d0.r2.d1.-r2.f2.-r1.d1.d2.-f2.r1.-f0.-r1.f0.-d2.r1.f3,47,47
73,-d2.-f2.f1.r3.-d2.f1.r3.-d3.-f2.d0.f0.-r3.-f2.-r3.-f0.r0.r1.-d2.-f3.f0.-r1.-d1.f3.d3.-f3.d1.-f1.r2.f3.r1.f1.-d2.-f2.-d0.-r1.-f1.r1.-d0.-r0.d1.-f2.-d1.f2.r0.-d1.d0,46,46
75,-d3.-f3.r2.-f1.d0.-r0.d0.f3.d1.-r0.-d0.-d3.f3.-r0.-f1.-d3.-r2.-d0.-d0.-d2.f3.-d1.d3.-r3.-r3.d1.r3.-f3.-d0.-d0.-f0.f2.r2.-f1.f2.d3.r1.-d3.-r1.-d3.-r1.-r1.f2.r1.-f2.r1.-f2.f1,48,48
80,-r3.-f0.-f0.-d2.-f3.d0.-r3.f1.r1.f3.-r2.-r3.d2.r0.f1.r1.-f0.-d3.f3.-r0.-f2.-d2.-d2.f2.r0.-d0.-r0.-r1.f0.r1.-d0.-d3.f1.d3.f1.d2.f1.-d2.d0.-f2.-d0.f1.-d2.f1.d2.-f1.d0,47,47
80,-r3.f0.f0.-d2.-f3.d0.-r3.f1.r1.f3.-r3.-r2.d2.r0.f1.r1.-f0.-d3.f3.-r0.-f2.-d2.-d2.f2.r0.-d0.-r1.-r0.f0.r1.-d0.-d3.f1.d3.f1.d2.f1.d0.-d2.-f2.-d0.f1.-d2.f1.d2.-f1.d0,47,47
81,f0.d1.-f0.d0.-r0.d0.-r2.r1.-d1.-r1.f2.f3.-r2.r0.f3.-r2.-d3.-r3.-d0.-d0.r0.-f3.f2.r0.-f2.-r0.d0.r3.-f0.f3.-r3.-d3.r0.-f0.-d3.d0.r0.-f3.r0.-f3.-r0.r3.-f0.-f0.d3.r0,46,46
81,-r2.-f0.r0.-d2.-d0.f3.r0.d3.f0.r0.d2.r3.d3.-r1.-d3.f1.r3.-f0.r3.f0.r0.r3.-f3.-f3.-r2.f3.r2.-f3.-f3.-d0.-r3.f2.f2.r1.f2.-r1.-r0.d1.d2.f1.d1.-d2.r0.f2.-r0.d1.d1.r0,48,48
83,d3.r2.d2.r0.-d2.-r1.-f0.f1.-r3.-d0.f1.-d0.-d0.f3.-d0.-f0.-f2.-r0.-d0.r0.-f3.f2.r0.-f0.-r0.d3.r0.f0.f2.d0.f1.d3.-f1.-r1.d3.r1.f1.-d3.-f1.-f2.d0.-r2.d2.r2.-d0.r2,46,46
83,d3.r2.d2.r0.-d2.-r1.-f0.f1.-r3.-d0.f1.d0.d0.f3.-d0.-f0.-f2.-r0.-d0.r0.-f3.f2.r0.-f0.-r0.d3.r0.f0.f2.d0.f1.d3.-f1.-r1.d3.r1.f1.-d3.-f1.-f2.d0.-r2.d2.r2.-d0.r2,46,46
84,-d0.f3.d2.-r3.r1.-f2.f3.-d3.-r2.f0.-r2.-f0.-r1.-d2.f2.-r1.f2.-d1.r1.f2.d1.-r2.-d3.r1.-d2.-f2.d2.-r3.r2.d0.-r0.d0.r3.-f0.-d3.-d3.-r3.-f0.-r3.-d3.-d3.f3.-d3.-d3.-f0.-r0.-f0,47,47
84,-d0.f1.-r3.d3.f2.r2.-d3.-d0.f1.-r0.-r1.d2.r3.-d0.f2.f3.-r3.-r3.-d3.r2.f1.r3.r3.-f1.r3.-r2.f1.r3.f3.-d3.f1.r2.-d0.-r2.d0.f1.f1.-d3.-r2.r1.d2.-r1.d2.r1.r2.d3.-r1.-d2.r1.-d3.-d2,51,51
85,r2.-f3.-r3.f2.d3.-r3.-r3.d1.d3.-f2.-d0.-f1.-r2.-d0.f3.-d0.f2.r2.-d0.-d0.-r3.r2.-f3.-r3.-f1.-r2.-f3.-f3.f2.r2.-d1.-f0.-f3.f1.r1.f0.-d3.d1.d2.f2.-d1.r1.-d2.-f2.d3.f3,46,46
85,r2.-f3.-r3.f2.d3.r3.r3.d3.d1.-f2.-d0.-f1.-r2.-d0.f3.-d0.f2.r2.-d0.-d0.-r3.r2.-f3.-r3.-f1.-r2.-f3.-f3.f2.r2.-d1.-f3.-f0.f1.r1.f0.-d3.d1.d2.f2.-d1.r1.-d2.-f2.d3.f3,46,46
88,f3.d1.-f0.r0.f3.-d1.-r3.d3.f0.-d1.f0.f1.d1.-f0.r1.d3.r0.r3.-d1.d2.-r0.-d0.-r3.-r3.-d2.-r0.-r3.f0.f3.-d3.d0.d1.-r3.-f0.f3.d0.d3.-r3.r0.-f0.-r0.r3.-d0.d3.-f3.-d2.f3,47,47
88,f3.d1.-f0.r0.f3.-d1.-r3.d3.f0.-d1.f1.f0.d1.-f0.r1.d3.r3.r0.-d1.d2.-r0.-d0.r3.r3.-d2.-r0.-r3.f3.f0.d1.d0.-d3.-r3.f3.-f0.d0.d3.r0.-r3.-f0.r3.-r0.-d0.d3.-f3.-d2.f3,47,47
89,-d1.-f3.-d0.r0.r1.f3.d2.f1.-r2.r3.d1.-f2.-f3.r0.r3.-d1.-r2.r0.d0.-f3.-r0.d3.-f0.r1.d0.-r1.r0.-d0.f0.-d3.r3.f3.-r0.-f0.d3.f3.-r3.r0.d3.r3.-d0.f3.r0.f0.d0.r0,46,46
89,-r3.-d0.-r3.-f2.-d0.-f0.r0.f1.f2.d0.f1.-r3.-d3.f2.-d0.-f3.r0.-f3.r0.-d0.r1.-r0.-f1.-r1.-d1.-d0.-r2.-d0.r0.-r3.-f0.-d2.r0.d2.-r0.f0.r3.-r0.-f2.d1.-r1.f2.-d1.r1.-r3.d1.d2.-f2.-d1.f2,50,50
90,-r3.d2.f3.-r1.d1.f3.-d2.r3.-f1.-f1.-f2.-f2.-d3.-f3.f0.-d3.-r0.d0.d3.r3.-f3.-d1.-d1.f3.-d0.r0.-f3.-d1.d3.-r2.f1.r2.-f1.-d3.f3.r1.f0.-r2.d1.-f2.f1.r2.-d1.-f2.-f2.r2.-f2,47,47
90,-r3.d2.f3.-r1.d1.f3.-d2.r3.f1.f1.-f2.-f2.-d3.-f3.f0.-d3.-r0.d0.d3.r3.-f3.d1.d1.f3.-d0.r0.-f3.d3.-d1.-r2.f1.r2.-f1.-d3.f3.r1.f0.-r2.d1.-f2.f1.r2.-d1.f2.f2.r2.-f2,47,47
91,-r0.d3.-f3.f0.d2.-r3.d3.-f3.-d0.-r3.r0.d1.-r1.-f0.r0.d1.-f3.d2.r0.d0.r3.f2.r3.-f0.f2.-r3.d2.r3.-d2.-f2.f0.r0.r2.r3.d1.f2.-r0.f2.-r3.f2.r2.d1.-r2.-d1.-r3.r0,46,46
91,-r0.d3.-f3.f0.d2.-r3.d3.-f3.-d0.-r3.r0.d1.-r1.-f0.r0.d1.-f3.d2.r0.d0.r3.f2.r3.-f0.f2.-r3.d2.r3.-d2.-f2.f0.r3.r0.r2.d1.f2.-r0.f2.-r3.f2.r2.d1.-r2.-d1.-r3.r0,46,46
93,d2.f0.f3.d1.r2.-d2.d3.-f1.r3.-d0.r2.f3.-r1.d2.-r1.-r1.-d2.-r1.r0.-d2.-r1.-d1.-f3.d3.f3.-d0.d1.d3.r0.-f3.-d0.-d0.-r0.f0.-r3.d0.-r0.f3.d3.-f3.r0.-f0.-d3.f3.-d3.-d3,46,46
93,-d3.-d2.r3.r0.d0.-r2.-f1.-f1.d2.-f0.d2.-r0.-f2.f1.-d3.f3.d3.-f3.-r3.f0.-d1.f1.f2.r0.-f3.r3.d0.r1.-d0.-r0.-r3.d3.-f1.-d2.f2.r0.-d1.-r3.-r0.r2.-d2.-r2.d2.-r0.r3.-f2.d2.f2.-d2.r0,50,50
94,-d2.-f1.-r0.-d2.-f3.-r0.-f3.-d2.r0.-f2.f1.r3.-f1.-f3.r0.-f1.-f3.-r0.-f0.-r0.-r0.-r3.d0.r3.-f3.-d3.f1.d3.-r0.f1.-d3.f3.d3.f2.-d3.f0.-r0.-r0.-f3.-f3.d3.-f0.-d3.-f1.-f2.f3.d3,47,47
94,d2.-f3.d0.-d1.r3.d1.-d3.r3.-d3.-r1.f2.-d0.-r1.d0.-r3.-f2.-f0.r2.-f0.-r2.f0.r3.d0.-r3.-f1.d0.-r3.f3.r3.f3.d2.-f1.r2.-d2.-r3.-d1.-r2.d1.r3.f1.-f3.f0.d1.-f1.-d1.-f0.-r3,47,47
95,r0.d0.r3.f3.-r2.-d0.r1.-f0.-f2.d0.r3.f2.r3.d0.r1.-f3.d2.-f0.-d2.f0.-r2.f3.r3.-f0.r0.-f1.r1.d3.r1.d1.f2.d0.r1.-f3.d1.-f1.f2.-d1.f3.r1.f1.-d1.-f1.d1.-r1.-d1.-r1.-d0,48,48
97,-f0.-f2.r1.-d3.-r3.-r3.f3.-r3.-f3.-d1.-r3.-f3.-f0.r0.-f0.d2.-f3.-f3.-d2.r3.f3.d3.-r3.r1.-d2.f3.-f0.-f1.r3.-f1.-f1.-r3.f0.f0.-r1.-f1.r2.-f0.d2.f1.-d2.f0.-r2.-r1.-f3.-f0,46,46
98,-r2.-f3.r1.f1.-f0.f2.r1.-d3.-d3.-f2.-r2.f2.r0.d2.r0.d2.-f3.r2.-d2.d3.f2.-f3.r0.f1.-r0.d3.f3.-d0.-d3.r0.f0.-d2.-f0.f3.-f1.d2.-f3.-d2.f2.-f3.-r3.f2.-r2.-f2.r3.-f2.-r2,47,47
