initial_state_id,path,kernel_ref,kernel_version,artifact,artifact_row,variant,source_sha256
0,f1,trydotatwo/cayleypy-2xt4-444-example,1,cayleypy_public/output/solutions/all_solutions.csv,2,original,c2b3ca992b06cb65dd4cd8c2e17acebe224632ce80d78ac1bd42df5761a791fe
1,-d3.-r3,trydotatwo/cayleypy-2xt4-444-example,8,cayleypy_public/output/submission.csv,3,,9d28ba08e3eb930afc2b8386ddbe14fe40456d29df11bd9fc879a554b333d1e8
2,-f0.d0.-f0,trydotatwo/cayleypy-2xt4-444-example,8,cayleypy_public/output/submission.csv,4,,9d28ba08e3eb930afc2b8386ddbe14fe40456d29df11bd9fc879a554b333d1e8
3,-r1.r3.d2.d2,trydotatwo/cayleypy-2xt4-444-example,8,cayleypy_public/output/submission.csv,5,,9d28ba08e3eb930afc2b8386ddbe14fe40456d29df11bd9fc879a554b333d1e8
4,r1.-d1.f1.f3.r0,trydotatwo/cayleypy-2xt4-444-example,8,cayleypy_public/output/submission.csv,6,,9d28ba08e3eb930afc2b8386ddbe14fe40456d29df11bd9fc879a554b333d1e8
5,d0.r1.-r0.d3.d1.-f3,trydotatwo/cayleypy-2xt4-444-example,8,cayleypy_public/output/submission.csv,7,,9d28ba08e3eb930afc2b8386ddbe14fe40456d29df11bd9fc879a554b333d1e8
6,f2.d1.-f2.d0.f3.-r3.-f1,trydotatwo/cayleypy-2xt4-444-example,8,cayleypy_public/output/submission.csv,8,,9d28ba08e3eb930afc2b8386ddbe14fe40456d29df11bd9fc879a554b333d1e8
7,d1.d1.-f3.-f2.f3.d3.d1.-d0,trydotatwo/cayleypy-2xt4-444-example,8,cayleypy_public/output/submission.csv,9,,9d28ba08e3eb930afc2b8386ddbe14fe40456d29df11bd9fc879a554b333d1e8
8,-d1.-f0.-d1.f3.-r3.f1.-r1.-r0.r0,trydotatwo/cayleypy-2xt4-444-example,8,cayleypy_public/output/submission.csv,10,,9d28ba08e3eb930afc2b8386ddbe14fe40456d29df11bd9fc879a554b333d1e8
9,-f1.r1.-d1.-d1.-r2.-d2.r3.f0.-r3.-d0,trydotatwo/cayleypy-2xt4-444-example,8,cayleypy_public/output/submission.csv,11,,9d28ba08e3eb930afc2b8386ddbe14fe40456d29df11bd9fc879a554b333d1e8
10,-f0.r1.f2.-r1.f3.-r0.r2.f2.f2,trydotatwo/cayleypy-2xt4-444-example,3,cayleypy_public/output/solutions/all_solutions.csv,2,original,766f5a1b1757b5fa468e1fe9e34b6dcbfdbb0069f9031bb6dfa8cec7e4128681
10,-f0.r1.f2.-r1.f3.r2.-r0.f2.f2.-r0.r0,trydotatwo/cayleypy-2xt4-444-example,8,cayleypy_public/output/submission.csv,12,,9d28ba08e3eb930afc2b8386ddbe14fe40456d29df11bd9fc879a554b333d1e8
11,f0.r2.f3.-d0.d1.-r0.f3.-r2.-f1.f3.-r2.f1,trydotatwo/cayleypy-2xt4-444-example,8,cayleypy_public/output/submission.csv,13,,9d28ba08e3eb930afc2b8386ddbe14fe40456d29df11bd9fc879a554b333d1e8
11,f0.r2.f3.d1.-d0.-r0.f3.-r2.f3.-f1.-r2.f1,trydotatwo/cayleypy-2xt4-444-example,3,cayleypy_public/output/solutions/all_solutions.csv,3,original,766f5a1b1757b5fa468e1fe9e34b6dcbfdbb0069f9031bb6dfa8cec7e4128681
12,f1.f2.-f2.-r2.d3.f3.-r2.d2.d2.r2.f2.d1.r0,trydotatwo/cayleypy-2xt4-444-example,8,cayleypy_public/output/submission.csv,14,,9d28ba08e3eb930afc2b8386ddbe14fe40456d29df11bd9fc879a554b333d1e8
13,-f0.d3.f0.-f2.-f0.d3.d0.-r3.d1.r1.f2.f3.-f2.-d1,trydotatwo/cayleypy-2xt4-444-example,8,cayleypy_public/output/submission.csv,15,,9d28ba08e3eb930afc2b8386ddbe14fe40456d29df11bd9fc879a554b333d1e8
14,f3.-d2.-f3.f0.d1.f1.-r2.-d3.r0.-d0.r2.d1.f1.-f0.-r1,trydotatwo/cayleypy-2xt4-444-example,8,cayleypy_public/output/submission.csv,16,,9d28ba08e3eb930afc2b8386ddbe14fe40456d29df11bd9fc879a554b333d1e8
15,r1.-r3.r3.f3.-f3.d2.-d0.d1.-f3.-d0.-d0.r0.d0.d3.-d1.f0,trydotatwo/cayleypy-2xt4-444-example,8,cayleypy_public/output/submission.csv,17,,9d28ba08e3eb930afc2b8386ddbe14fe40456d29df11bd9fc879a554b333d1e8
16,-r3.r0.-d3.-f0.-f0.-r2.f1.-d0.-f3.-r0.-r2.f2.f0.-d1.-f2.-r1.-r0,trydotatwo/cayleypy-2xt4-444-example,8,cayleypy_public/output/submission.csv,18,,9d28ba08e3eb930afc2b8386ddbe14fe40456d29df11bd9fc879a554b333d1e8
17,r2.-f3.f1.f3.r1.d3.r0.f3.f3.-d1.-f0.-d0.d2.-f0.-d3.-d2.r2.f1,trydotatwo/cayleypy-2xt4-444-example,8,cayleypy_public/output/submission.csv,19,,9d28ba08e3eb930afc2b8386ddbe14fe40456d29df11bd9fc879a554b333d1e8
18,f3.d1.d3.-f2.f0.f0.f0.-r3.-r2.-f3.-d0.-r1.f0.-d1.-r2.d1.-r0.d1.d1,trydotatwo/cayleypy-2xt4-444-example,8,cayleypy_public/output/submission.csv,20,,9d28ba08e3eb930afc2b8386ddbe14fe40456d29df11bd9fc879a554b333d1e8
19,-f2.f2.-f3.r0.d2.-d0.-d3.-d2.d1.f1.r2.f2.-r1.-r2.-f1.-r3.d1.r0.-r2.-r0,trydotatwo/cayleypy-2xt4-444-example,8,cayleypy_public/output/submission.csv,21,,9d28ba08e3eb930afc2b8386ddbe14fe40456d29df11bd9fc879a554b333d1e8
20,d2.r0.d0.d1.-r1.r0.f1.-r3.-f1.r0.-r2.r1.-d1.d2.-r0.-f0.-d0,trydotatwo/cayleypy-2xt4-444-example,4,cayleypy_public/output/solutions/all_solutions.csv,2,original,32ddf9b0dbe3086d9717ea287c20d7da02c24bbc27142a8ce014e86cb1af538d
20,d2.r0.d1.d0.-r1.r0.f1.-r3.-f1.r1.-r1.r0.r1.-r2.-d1.d2.-r0.d3.-d3.-f0.-d0,trydotatwo/cayleypy-2xt4-444-example,8,cayleypy_public/output/submission.csv,22,,9d28ba08e3eb930afc2b8386ddbe14fe40456d29df11bd9fc879a554b333d1e8
21,f1.d1.f3.d3.d2.-f2.-f2.-f1.r1.-r3.-d2.-d2.f3.r3.-f0.r2.-r3.-f3.-f2.f0,zhipenzhang/cayleypy-beam-search-with-collect-mode,12,cayleypy_public/output/solutions/all_solutions.csv,3,original,b31609ef9d064496985a08366015e7fd2f3fef2429cd7b70fc5c6787861712e4
21,f1.f0.-f0.d1.f3.d3.d2.-f2.-f1.-f2.-r3.r1.-d2.-d2.f3.r3.-f0.r2.-r3.-f2.-f3.f0,trydotatwo/cayleypy-2xt4-444-example,8,cayleypy_public/output/submission.csv,23,,9d28ba08e3eb930afc2b8386ddbe14fe40456d29df11bd9fc879a554b333d1e8
22,d2.-f3.r1.d1.-f1.-r3.-r3.-r0.f3.-d3.-d0.f2.d3.f2.r1.-f0.-d0.r3.r1.-r1.-d1.r2.-f0,trydotatwo/cayleypy-2xt4-444-example,8,cayleypy_public/output/submission.csv,24,,9d28ba08e3eb930afc2b8386ddbe14fe40456d29df11bd9fc879a554b333d1e8
22,d2.-f3.r1.d1.-f1.r3.r3.-r0.f3.-d0.-d3.f2.d3.f2.r1.-f0.-d0.r3.-d1.r2.-f0,zhipenzhang/cayleypy-beam-search-with-collect-mode,12,cayleypy_public/output/solutions/all_solutions.csv,4,original,b31609ef9d064496985a08366015e7fd2f3fef2429cd7b70fc5c6787861712e4
23,-d3.-r2.-f2.f0.-f2.-r1.-r2.d2.f2.f1.f1.-r2.-f3.-f2.-f3.r2.r2.-d3,zhipenzhang/cayleypy-beam-search-with-collect-mode,12,cayleypy_public/output/solutions/all_solutions.csv,5,original,b31609ef9d064496985a08366015e7fd2f3fef2429cd7b70fc5c6787861712e4
23,-d3.-r2.f0.-r1.-r2.-f2.-f2.d2.f2.-f1.-f1.-r2.r3.-r3.-f3.-f3.-f2.-r2.f3.-f3.-r2.-d3.-r0.r0,trydotatwo/cayleypy-2xt4-444-example,8,cayleypy_public/output/submission.csv,25,,9d28ba08e3eb930afc2b8386ddbe14fe40456d29df11bd9fc879a554b333d1e8
24,f2.r0.-f2.d3.-r0.-d3.d1.-f0.f3.d3.r1.-f2.f3.-d3.r1.-d1.-r3.-r0.f1.-f3.d1.f1.r1,zhipenzhang/cayleypy-beam-search-with-collect-mode,11,cayleypy_public/output/solutions/all_solutions.csv,2,original,39a070db4e2c220e310c8b707792ee6acf08e78aaf626aecccd02b4229b68280
24,f2.r0.-f2.d3.f0.-f0.-r0.-d3.d1.f3.-f0.d3.r1.-f2.f3.-d3.r1.-d1.-r0.-r3.f1.-f3.d1.f1.r1,trydotatwo/cayleypy-2xt4-444-example,8,cayleypy_public/output/submission.csv,26,,9d28ba08e3eb930afc2b8386ddbe14fe40456d29df11bd9fc879a554b333d1e8
25,-r3.-r3.d1.f1.-f3.d2.r0.-f0.-f0.-d0.d3.-f3.-f3.-r1.-d2.r1.f1.r3.f2.-r3.-d0.-f2.r1.f2.-r1.-d2.f3.d1.f2.-d1.-f3.r3.-f0.-f2.-r1.f2.f1.f1,zhipenzhang/cayleypy-beam-search-with-collect-mode,11,cayleypy_public/output/solutions/all_solutions.csv,3,original,39a070db4e2c220e310c8b707792ee6acf08e78aaf626aecccd02b4229b68280
